t,model,average,arc,hellaswag,mmlu,truthfulqa,winogrande,gsm8k,type,architecture,weight_type,precision,merged,hub_license,params_b,hub_hearts,available_on_the_hub,model_sha,flagged,moe,date,fullname,url
🤝,invalid-coder/Sakura-SOLAR-Instruct-CarbonVillain-en-10.7B-v2-slerp,74.45,71.25,88.42,66.31,71.94,83.43,65.35,🤝 base merges and moerges,LlamaForCausalLM,Original,float16,FALSE,apache-2.0,10,0,TRUE,39a1c76ddb5fa3a82c5b4071121d2e4866a25300,TRUE,TRUE,2024-03-31T11:10:02Z,invalid-coder/Sakura-SOLAR-Instruct-CarbonVillain-en-10.7B-v2-slerp,https://huggingface.co/invalid-coder/Sakura-SOLAR-Instruct-CarbonVillain-en-10.7B-v2-slerp
🤝,paulml/NeuralOmniWestBeaglake-7B,74.43,73.72,89.69,63.96,75.1,84.93,59.21,🤝 base merges and moerges,MistralForCausalLM,Original,float16,FALSE,cc-by-nc-4.0,7,2,TRUE,b02cba26616d558094f7dca72419367c56937a47,TRUE,TRUE,2024-02-05T08:59:04Z,paulml/NeuralOmniWestBeaglake-7B,https://huggingface.co/paulml/NeuralOmniWestBeaglake-7B
🔶,TomGrc/FusionNet_linear,74.43,71.25,88.44,66.35,71.94,83.27,65.35,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,FALSE,mit,10,8,TRUE,a6eba075d53fc4bdbcded071f9bdeb287d1ac260,TRUE,TRUE,2024-01-01T18:15:41Z,TomGrc/FusionNet_linear,https://huggingface.co/TomGrc/FusionNet_linear
🟢,gagan3012/MetaModel_moe,74.42,71.25,88.4,66.26,71.86,83.35,65.43,🟢 pretrained,MixtralForCausalLM,Original,float16,TRUE,apache-2.0,36,0,TRUE,015dae67b68e6e5007b7b13a448886eb5f6bfea8,FALSE,FALSE,2024-01-06T13:15:06Z,gagan3012/MetaModel_moe,https://huggingface.co/gagan3012/MetaModel_moe
🤝,seyf1elislam/KuTrix-7b,74.42,70.48,87.94,65.28,70.85,81.93,70.05,🤝 base merges and moerges,MistralForCausalLM,Original,bfloat16,FALSE,cc-by-nc-4.0,7,2,TRUE,37995fab81810aacdf8fa7db73c41c4673dd4794,TRUE,TRUE,2024-03-16T05:27:27Z,seyf1elislam/KuTrix-7b,https://huggingface.co/seyf1elislam/KuTrix-7b
💬,jeonsworld/CarbonVillain-en-10.7B-v2,74.42,71.25,88.4,66.31,71.94,83.35,65.28,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,float16,FALSE,cc-by-nc-sa-4.0,10,1,TRUE,70b507c12dfe6ce8a7d050be5475fc9684a4929f,TRUE,TRUE,2023-12-30T12:48:06Z,jeonsworld/CarbonVillain-en-10.7B-v2,https://huggingface.co/jeonsworld/CarbonVillain-en-10.7B-v2
🔶,nbeerbower/bruphin-epsilon,74.42,72.1,88.09,65.04,66.95,83.82,70.51,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,FALSE,apache-2.0,7,0,TRUE,75d6c2cee8666b9f25631a796f35563147264045,TRUE,TRUE,2024-01-25T00:40:57Z,nbeerbower/bruphin-epsilon,https://huggingface.co/nbeerbower/bruphin-epsilon
🔶,DopeorNope/SOLARC-M-10.7B,74.42,71.16,88.41,66.31,71.85,83.35,65.43,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,FALSE,cc-by-nc-sa-4.0,10,7,TRUE,fa95c376fdad1670d4125e833322dbf6aeb8f410,FALSE,TRUE,2023-12-31T13:41:47Z,DopeorNope/SOLARC-M-10.7B,https://huggingface.co/DopeorNope/SOLARC-M-10.7B
🟢,cloudyu/Mixtral_11Bx2_MoE_19B,74.41,71.16,88.47,66.31,72,83.27,65.28,🟢 pretrained,MixtralForCausalLM,Original,float16,TRUE,cc-by-nc-4.0,19,38,TRUE,092208b5bfab866b301545149a6b14fde48a0dd6,FALSE,FALSE,2023-12-31T00:44:22Z,cloudyu/Mixtral_11Bx2_MoE_19B,https://huggingface.co/cloudyu/Mixtral_11Bx2_MoE_19B
💬,kekmodel/StopCarbon-10.7B-v5,74.41,70.99,88.48,66.34,71.84,83.58,65.2,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,float16,FALSE,cc-by-nc-sa-4.0,10,2,TRUE,57966bc616a9db7756488661f4ed16b40ee23780,TRUE,TRUE,2023-12-30T15:02:09Z,kekmodel/StopCarbon-10.7B-v5,https://huggingface.co/kekmodel/StopCarbon-10.7B-v5
💬,jeonsworld/CarbonVillain-en-10.7B-v3,74.41,70.99,88.48,66.34,71.84,83.58,65.2,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,float16,FALSE,cc-by-nc-sa-4.0,10,0,TRUE,285436a72c10e0f2b8eb897549350fe40c2e8bbe,TRUE,TRUE,2023-12-30T15:27:47Z,jeonsworld/CarbonVillain-en-10.7B-v3,https://huggingface.co/jeonsworld/CarbonVillain-en-10.7B-v3
🔶,gagan3012/MetaModel,74.4,71.08,88.45,66.26,71.84,83.43,65.35,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,FALSE,apache-2.0,10,0,TRUE,06308e54585a49a01a93c99caa2fb34daf4e7619,TRUE,TRUE,2024-01-03T14:47:20Z,gagan3012/MetaModel,https://huggingface.co/gagan3012/MetaModel
🔶,kyujinpy/Sakura-SOLAR-Instruct,74.4,70.99,88.42,66.33,71.79,83.66,65.2,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,FALSE,cc-by-nc-sa-4.0,10,28,TRUE,cc4531a25fff7cbb146c0e12f2cf4e19189c37a2,TRUE,TRUE,2023-12-24T17:26:27Z,kyujinpy/Sakura-SOLAR-Instruct,https://huggingface.co/kyujinpy/Sakura-SOLAR-Instruct
🟢,Xenon1/MetaModel_moex8,74.39,71.16,88.38,66.29,71.91,83.27,65.35,🟢 pretrained,MixtralForCausalLM,Original,float16,FALSE,apache-2.0,69,5,TRUE,333524a8c6ed8415fd48f852e53c405cac82733d,TRUE,FALSE,2024-01-10T11:10:33Z,Xenon1/MetaModel_moex8,https://huggingface.co/Xenon1/MetaModel_moex8
💬,gagan3012/MetaModelv3,74.39,71.16,88.39,66.32,71.86,83.35,65.28,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,float16,FALSE,apache-2.0,10,0,TRUE,862f5ca5e66a0b053c14e40c8f16f2c2807b6d92,FALSE,TRUE,2024-01-06T13:16:57Z,gagan3012/MetaModelv3,https://huggingface.co/gagan3012/MetaModelv3
🔶,TomGrc/FusionNet,74.38,71.25,88.42,66.36,71.95,83.27,65.05,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,FALSE,mit,10,1,TRUE,34421f146e5eb3306a86dd8b67ec938e800ee52e,TRUE,TRUE,2023-12-31T06:46:11Z,TomGrc/FusionNet,https://huggingface.co/TomGrc/FusionNet
🔶,Vasanth/Beast-Soul,74.37,72.53,88.15,64.76,66.76,83.43,70.58,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,FALSE,apache-2.0,7,0,TRUE,700aacf29bde13dfef2a5f15c5a5d6627c73d80d,TRUE,TRUE,2024-01-22T00:03:15Z,Vasanth/Beast-Soul,https://huggingface.co/Vasanth/Beast-Soul
🔶,BarryFutureman/WestLakeX-7B-EvoMerge,74.37,71.42,88.08,64.84,67.5,84.77,69.6,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,TRUE,apache-2.0,7,0,TRUE,6bf661cdade79d96c4def4f09c27ad5ca1bae11a,TRUE,TRUE,2024-01-30T20:44:27Z,BarryFutureman/WestLakeX-7B-EvoMerge,https://huggingface.co/BarryFutureman/WestLakeX-7B-EvoMerge
🤝,nbeerbower/flammen3,74.36,70.82,87.98,64.81,70.69,82.16,69.67,🤝 base merges and moerges,MistralForCausalLM,Original,bfloat16,TRUE,"",7,0,FALSE,37a181a04dcedf8402a5246b4189c88b2096323d,TRUE,TRUE,2024-03-07T19:24:01Z,nbeerbower/flammen3,https://huggingface.co/nbeerbower/flammen3
🔶,flemmingmiguel/DareBeagle-7B,74.35,71.59,87.98,65.21,68.3,81.93,71.11,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,FALSE,apache-2.0,7,1,TRUE,53e5b634de4ae9ef8a127c1d7a0c543acfba1b47,TRUE,TRUE,2024-01-16T18:41:22Z,flemmingmiguel/DareBeagle-7B,https://huggingface.co/flemmingmiguel/DareBeagle-7B
🔶,222gate/Blurdus-7b-v0.1,74.35,72.27,88.5,64.82,69.72,82.95,67.85,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,TRUE,"",7,0,FALSE,339e5802231bda900d71d8d04db88021d1dd8903,TRUE,TRUE,2024-01-21T00:40:47Z,222gate/Blurdus-7b-v0.1,https://huggingface.co/222gate/Blurdus-7b-v0.1
🔶,MaziyarPanahi/Franken-MoE-18B-v0.1,74.35,72.1,88.3,65.01,67.51,83.74,69.45,🔶 fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,float16,FALSE,apache-2.0,18,2,TRUE,a64d069a467516037179b16a010ff118ed66d370,TRUE,FALSE,2024-03-30T20:52:50Z,MaziyarPanahi/Franken-MoE-18B-v0.1,https://huggingface.co/MaziyarPanahi/Franken-MoE-18B-v0.1
🤝,ConvexAI/Solutus-3x7B,74.35,72.01,88.31,64.77,67.52,83.66,69.83,🤝 base merges and moerges,MixtralForCausalLM,Original,bfloat16,FALSE,apache-2.0,18,7,TRUE,7c604d7adedd864f6ff3db10500a499e5dd8f8ff,TRUE,FALSE,2024-02-03T00:03:35Z,ConvexAI/Solutus-3x7B,https://huggingface.co/ConvexAI/Solutus-3x7B
🔶,kodonho/Solar-OrcaDPO-Solar-Instruct-SLERP,74.35,70.99,88.22,66.22,71.95,83.43,65.28,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,FALSE,cc-by-nc-4.0,10,0,TRUE,ea7a7a1c14c4b67bad56dbd08245dbb79dc71ec3,FALSE,TRUE,2024-01-12T02:15:01Z,kodonho/Solar-OrcaDPO-Solar-Instruct-SLERP,https://huggingface.co/kodonho/Solar-OrcaDPO-Solar-Instruct-SLERP
🔶,DopeorNope/SOLARC-MOE-10.7Bx6,74.35,70.9,88.4,66.36,71.85,83.66,64.9,🔶 fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,float16,FALSE,cc-by-nc-sa-4.0,53,16,TRUE,64c8ef9fa6d9b54b68261d839b656b0dc8717374,TRUE,FALSE,2023-12-30T09:09:39Z,DopeorNope/SOLARC-MOE-10.7Bx6,https://huggingface.co/DopeorNope/SOLARC-MOE-10.7Bx6
🔶,migtissera/Tess-2.0-Llama-3-70B-v0.2,74.34,69.54,88.26,79.51,50,85.64,73.09,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,TRUE,llama3,70,8,TRUE,dc64fa63c3ee844f18f14f0179f88bd1e95a805a,TRUE,FALSE,2024-05-06T02:57:13Z,migtissera/Tess-2.0-Llama-3-70B-v0.2,https://huggingface.co/migtissera/Tess-2.0-Llama-3-70B-v0.2
💬,CultriX/MergeTrix-7B,74.33,72.27,87.84,64.88,66.27,83.5,71.19,"💬 chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,Original,bfloat16,FALSE,apache-2.0,7,4,TRUE,d11bd6b388581d2a44c1431a9985e8fc77addd33,FALSE,TRUE,2024-01-15T17:25:16Z,CultriX/MergeTrix-7B,https://huggingface.co/CultriX/MergeTrix-7B
🤝,invalid-coder/SOLAR-10.7B-Instruct-SOLARC-M-10.7B-slerp,74.32,71.08,88.34,66.29,71.73,83.74,64.75,🤝 base merges and moerges,LlamaForCausalLM,Original,float16,FALSE,apache-2.0,10,0,TRUE,656f2be86e3f30067e62e61cedf78b0697ce0a97,TRUE,TRUE,2024-02-02T11:13:47Z,invalid-coder/SOLAR-10.7B-Instruct-SOLARC-M-10.7B-slerp,https://huggingface.co/invalid-coder/SOLAR-10.7B-Instruct-SOLARC-M-10.7B-slerp
💬,kekmodel/StopCarbon-10.7B-v6,74.31,71.16,88.5,66.31,71.96,83.43,64.52,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,float16,FALSE,mit,10,1,TRUE,8953a705c909ef98fe3b0ea524c5816a57f1954c,TRUE,TRUE,2024-01-01T04:29:55Z,kekmodel/StopCarbon-10.7B-v6,https://huggingface.co/kekmodel/StopCarbon-10.7B-v6
💬,jeonsworld/CarbonVillain-en-10.7B-v5,74.31,71.16,88.51,66.44,71.97,83.35,64.44,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,float16,FALSE,cc-by-nc-sa-4.0,10,0,TRUE,941b5a690781dd412eb435446b65e92048992abe,TRUE,TRUE,2023-12-30T18:33:53Z,jeonsworld/CarbonVillain-en-10.7B-v5,https://huggingface.co/jeonsworld/CarbonVillain-en-10.7B-v5
💬,yunconglong/Truthful_DPO_MOE_19B,74.3,71.08,88.46,66.13,72.29,83.35,64.52,"💬 chat models (RLHF, DPO, IFT, ...)",MixtralForCausalLM,Original,bfloat16,TRUE,other,19,1,TRUE,de574b57d45cfea00748c464af17f1c1ca53e548,TRUE,FALSE,2024-01-21T02:13:18Z,yunconglong/Truthful_DPO_MOE_19B,https://huggingface.co/yunconglong/Truthful_DPO_MOE_19B
🔶,ConvexAI/BurningBruce-003,74.3,71.25,88.22,64.48,66.39,83.19,72.25,🔶 fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,bfloat16,FALSE,apache-2.0,24,5,TRUE,bbcf8079aa4a50393036e53b89f4f4fb20afbd1f,TRUE,FALSE,2024-01-19T20:22:14Z,ConvexAI/BurningBruce-003,https://huggingface.co/ConvexAI/BurningBruce-003
🔶,222gate/Blur-4x7b-MOE-v0.1,74.29,72.27,88.14,65.05,68.82,82.56,68.92,🔶 fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,bfloat16,TRUE,"",24,0,FALSE,1690def0c82469870a8b0b649eea948f8940151b,TRUE,FALSE,2024-01-21T00:36:07Z,222gate/Blur-4x7b-MOE-v0.1,https://huggingface.co/222gate/Blur-4x7b-MOE-v0.1
🔶,kodonho/SolarM-SakuraSolar-SLERP,74.29,71.16,88.47,66.24,72.1,83.11,64.67,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,TRUE,cc-by-nc-4.0,10,1,TRUE,c54dbc0da9e028cfaf92114206c6b84c0198d2b0,FALSE,TRUE,2024-01-12T02:14:24Z,kodonho/SolarM-SakuraSolar-SLERP,https://huggingface.co/kodonho/SolarM-SakuraSolar-SLERP
💬,DreadPoor/Kindred-7B-slerp,74.29,71.76,87.78,64.76,68.12,83.11,70.2,"💬 chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,Original,bfloat16,TRUE,"",7,0,FALSE,64da0f7bb5f6d772b7d682c99b5c510cb8681ff0,TRUE,TRUE,2024-03-06T03:28:46Z,DreadPoor/Kindred-7B-slerp,https://huggingface.co/DreadPoor/Kindred-7B-slerp
💬,kekmodel/StopCarbon-10.7B-v4,74.29,71.25,88.5,66.24,71.89,83.43,64.44,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,float16,FALSE,cc-by-nc-sa-4.0,10,0,TRUE,c8d98bb8c6b23b3c3b7462df7eb02a3b05622612,TRUE,TRUE,2023-12-30T14:12:12Z,kekmodel/StopCarbon-10.7B-v4,https://huggingface.co/kekmodel/StopCarbon-10.7B-v4
🟢,gagan3012/MetaModel_moe,74.28,71.08,88.39,66.31,71.82,83.5,64.59,🟢 pretrained,MixtralForCausalLM,Original,bfloat16,TRUE,apache-2.0,36,0,TRUE,015dae67b68e6e5007b7b13a448886eb5f6bfea8,FALSE,FALSE,2024-01-05T23:46:16Z,gagan3012/MetaModel_moe,https://huggingface.co/gagan3012/MetaModel_moe
🔶,Kukedlc/NeuralExperiment-7b-MagicCoder-v7.5,74.28,71.33,87.94,64.62,72.11,83.5,66.19,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,TRUE,apache-2.0,7,1,TRUE,43ea8d27d652dc15e4d27f665c5d636a5937780b,TRUE,TRUE,2024-03-07T03:45:19Z,Kukedlc/NeuralExperiment-7b-MagicCoder-v7.5,https://huggingface.co/Kukedlc/NeuralExperiment-7b-MagicCoder-v7.5
💬,jeonsworld/CarbonVillain-en-13B-v1,74.28,71.25,88.46,66.42,71.98,83.27,64.29,"💬 chat models (RLHF, DPO, IFT, ...)",Unknown,Original,float16,TRUE,"",10,0,FALSE,a797e7e81f7929a31ca232858318d72b93b6abe0,TRUE,TRUE,2023-12-28T20:41:37Z,jeonsworld/CarbonVillain-en-13B-v1,https://huggingface.co/jeonsworld/CarbonVillain-en-13B-v1
💬,jeonsworld/CarbonVillain-en-10.7B-v1,74.28,71.25,88.46,66.42,71.98,83.27,64.29,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,float16,FALSE,cc-by-nc-4.0,10,5,TRUE,a797e7e81f7929a31ca232858318d72b93b6abe0,TRUE,TRUE,2023-12-28T20:47:50Z,jeonsworld/CarbonVillain-en-10.7B-v1,https://huggingface.co/jeonsworld/CarbonVillain-en-10.7B-v1
💬,ResplendentAI/Datura_7B,74.28,72.1,88.27,64.15,71.03,84.53,65.58,"💬 chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,Original,float16,TRUE,cc-by-sa-4.0,7,7,TRUE,750463cf0946dd46c4504b302757f2bb6e2b4521,TRUE,TRUE,2024-03-08T04:30:11Z,ResplendentAI/Datura_7B,https://huggingface.co/ResplendentAI/Datura_7B
🔶,FelixChao/Patronum-7B,74.27,71.67,88.33,64.84,70.41,81.85,68.54,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,TRUE,apache-2.0,7,0,TRUE,78da696445e50002d29bf5610af059fd3f00f51b,TRUE,TRUE,2024-01-30T12:11:23Z,FelixChao/Patronum-7B,https://huggingface.co/FelixChao/Patronum-7B
🔶,DopeorNope/SOLARC-MOE-10.7Bx4,74.27,70.99,88.43,66.34,71.91,83.58,64.37,🔶 fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,float16,FALSE,cc-by-nc-sa-4.0,36,7,TRUE,07cee5a25fd8d85486f888893d5bee532e5f5cd8,FALSE,FALSE,2023-12-27T18:03:15Z,DopeorNope/SOLARC-MOE-10.7Bx4,https://huggingface.co/DopeorNope/SOLARC-MOE-10.7Bx4
💬,bhavinjawade/SOLAR-10B-OrcaDPO-Jawade,74.27,71.16,88.27,66.12,71.57,83.66,64.82,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,float16,TRUE,mit,10,4,TRUE,02a497125bbf85fe0355eb22424315c920d1aec4,TRUE,TRUE,2024-01-07T22:42:07Z,bhavinjawade/SOLAR-10B-OrcaDPO-Jawade,https://huggingface.co/bhavinjawade/SOLAR-10B-OrcaDPO-Jawade
💬,ResplendentAI/Flora_DPO_7B,74.26,71.76,88.28,64.13,71.08,84.53,65.81,"💬 chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,Original,float16,TRUE,cc-by-sa-4.0,7,2,TRUE,0d04b46ec6ce4c707bcdebb94b98e30fe8f4ae1d,TRUE,TRUE,2024-03-07T07:41:17Z,ResplendentAI/Flora_DPO_7B,https://huggingface.co/ResplendentAI/Flora_DPO_7B
💬,Weyaxi/SauerkrautLM-UNA-SOLAR-Instruct,74.26,70.9,88.3,66.15,71.8,83.74,64.67,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,bfloat16,FALSE,cc-by-nc-4.0,10,26,TRUE,564c02554a8b1f91c0860096bdb830dc15ac7805,TRUE,TRUE,2023-12-21T18:23:44Z,Weyaxi/SauerkrautLM-UNA-SOLAR-Instruct,https://huggingface.co/Weyaxi/SauerkrautLM-UNA-SOLAR-Instruct
🔶,Weyaxi/SauerkrautLM-UNA-SOLAR-Instruct-test,74.26,70.9,88.3,66.15,71.8,83.74,64.67,🔶 fine-tuned on domain-specific datasets,Unknown,Original,bfloat16,TRUE,"",10,0,FALSE,ae0cab05b071dcde2e89e80ab511fa1bc0f53f1c,TRUE,TRUE,2023-12-21T18:53:08Z,Weyaxi/SauerkrautLM-UNA-SOLAR-Instruct-test,https://huggingface.co/Weyaxi/SauerkrautLM-UNA-SOLAR-Instruct-test
🔶,ResplendentAI/Flora_7B,74.26,72.1,88.31,64.16,71.19,84.45,65.35,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,TRUE,cc-by-sa-4.0,7,7,TRUE,9c95dafc63de0e98627458369e87347df87fa17d,TRUE,TRUE,2024-03-05T04:39:45Z,ResplendentAI/Flora_7B,https://huggingface.co/ResplendentAI/Flora_7B
🟢,macadeliccc/SOLAR-math-2x10.7b-v0.2,74.25,70.9,88.29,66.25,71.68,83.5,64.9,🟢 pretrained,MixtralForCausalLM,Original,bfloat16,TRUE,cc-by-nc-4.0,19,3,TRUE,1aa7540c34d4dad02ec2b9bcc991bdcd12d3134d,FALSE,FALSE,2024-01-20T17:32:35Z,macadeliccc/SOLAR-math-2x10.7b-v0.2,https://huggingface.co/macadeliccc/SOLAR-math-2x10.7b-v0.2
🔶,AA051610/testtest,74.24,70.82,84.88,76.66,69.9,82.08,61.11,🔶 fine-tuned on domain-specific datasets,Unknown,Original,bfloat16,TRUE,"",34,0,FALSE,e9be60931d3abdf3b08a55f13e4c7586918b2be8,TRUE,TRUE,2024-01-06T07:22:35Z,AA051610/testtest,https://huggingface.co/AA051610/testtest
💬,222gate/BrurryDog-7b-v0.1,74.24,72.53,88.37,64.74,70.05,82.87,66.87,"💬 chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,Original,bfloat16,TRUE,"",7,0,FALSE,d3cac1bb6dfc362656320a881b4fc91d3974d6ed,TRUE,TRUE,2024-01-20T01:40:12Z,222gate/BrurryDog-7b-v0.1,https://huggingface.co/222gate/BrurryDog-7b-v0.1
🔶,gagan3012/MetaModelv2,74.24,71.08,88.56,66.29,71.94,83.11,64.44,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,FALSE,apache-2.0,10,0,TRUE,2cb9c69984ee3e5506f055238fd1aa5fe4ea91bd,FALSE,TRUE,2024-01-03T15:33:46Z,gagan3012/MetaModelv2,https://huggingface.co/gagan3012/MetaModelv2
🔶,rmdhirr/Pulsar_7B,74.23,69.71,86.99,63.72,69.28,84.06,71.65,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,TRUE,apache-2.0,7,2,TRUE,46d081f4b8cb80884893350b4b511d03db4fc524,TRUE,TRUE,2024-04-12T16:15:44Z,rmdhirr/Pulsar_7B,https://huggingface.co/rmdhirr/Pulsar_7B
🔶,abideen/MonarchCoder-MoE-2x7B,74.23,70.99,87.99,65.11,71.25,80.66,69.37,🔶 fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,bfloat16,FALSE,apache-2.0,12,1,TRUE,1d71eacdbfa5d4fe546bcc57d40e642dbac57cb7,TRUE,FALSE,2024-02-20T20:39:04Z,abideen/MonarchCoder-MoE-2x7B,https://huggingface.co/abideen/MonarchCoder-MoE-2x7B
🤝,Gille/StrangeMerges_45-7B-dare_ties,74.23,69.8,87.6,65.06,67.79,82.32,72.78,🤝 base merges and moerges,MistralForCausalLM,Original,bfloat16,FALSE,apache-2.0,7,0,TRUE,7d0905d7112b0e7c1cffd2bd41ea3152d5cc2bc8,TRUE,TRUE,2024-03-25T18:24:22Z,Gille/StrangeMerges_45-7B-dare_ties,https://huggingface.co/Gille/StrangeMerges_45-7B-dare_ties
🤝,BryanSwk/LaserPipe-7B-SLERP,74.22,71.08,87.89,64.86,65.38,83.35,72.78,🤝 base merges and moerges,MistralForCausalLM,Original,bfloat16,FALSE,cc-by-nc-4.0,7,3,TRUE,0c27fcb6770f2225e4dcc2277b8618e03810427e,TRUE,TRUE,2024-02-07T14:37:18Z,BryanSwk/LaserPipe-7B-SLERP,https://huggingface.co/BryanSwk/LaserPipe-7B-SLERP
🔶,NeuralNovel/Valor-7B-v0.1,74.21,72.27,86.59,64.09,69.84,83.35,69.14,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,TRUE,apache-2.0,7,9,TRUE,875319a815400bdb73c309601c175d72997a4fa0,TRUE,TRUE,2024-01-20T23:24:55Z,NeuralNovel/Valor-7B-v0.1,https://huggingface.co/NeuralNovel/Valor-7B-v0.1
🔶,naseerfaheem/SOLAR-10.7B-Instruct-ties,74.21,70.9,88.58,66.34,71.88,83.5,64.06,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,TRUE,"",10,0,FALSE,333fbc56f7406a47435ad9afbde01c4f8116287e,TRUE,TRUE,2024-01-15T07:23:04Z,naseerfaheem/SOLAR-10.7B-Instruct-ties,https://huggingface.co/naseerfaheem/SOLAR-10.7B-Instruct-ties
💬,kekmodel/StopCarbon-10.7B-v2,74.21,71.08,88.6,66.23,72.01,83.5,63.84,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,float16,FALSE,cc-by-nc-4.0,10,0,TRUE,7b49c998e2a32006e27d3e826d19240ed6bdd697,TRUE,TRUE,2023-12-30T08:49:28Z,kekmodel/StopCarbon-10.7B-v2,https://huggingface.co/kekmodel/StopCarbon-10.7B-v2
🔶,VAGOsolutions/SauerkrautLM-SOLAR-Instruct,74.21,70.82,88.63,66.2,71.95,83.5,64.14,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,TRUE,cc-by-nc-4.0,10,44,TRUE,8b9615124a0bcadd7fa984eaadd066da0fb4fbae,TRUE,TRUE,2023-12-20T01:37:23Z,VAGOsolutions/SauerkrautLM-SOLAR-Instruct,https://huggingface.co/VAGOsolutions/SauerkrautLM-SOLAR-Instruct
🔶,dfurman/GarrulusMarcoro-7B-v0.1,74.2,72.35,88,64.65,67.05,87.21,65.96,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,FALSE,apache-2.0,7,3,TRUE,c53e0d67f4684a46d35ded045c21e19e380f5e91,FALSE,TRUE,2024-01-11T05:49:33Z,dfurman/GarrulusMarcoro-7B-v0.1,https://huggingface.co/dfurman/GarrulusMarcoro-7B-v0.1
💬,kekmodel/StopCarbon-10.7B-v1,74.2,70.9,88.41,66.32,71.71,83.74,64.14,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,float16,FALSE,cc-by-nc-4.0,10,0,TRUE,a1681ef65f3d06b421969199ae07b8d32feecf9a,TRUE,TRUE,2023-12-30T08:49:17Z,kekmodel/StopCarbon-10.7B-v1,https://huggingface.co/kekmodel/StopCarbon-10.7B-v1
🤝,ChaoticNeutrals/Eris_PrimeV3-Vision-7B,74.2,70.65,87.87,65.32,70.32,83.35,67.7,🤝 base merges and moerges,MistralForCausalLM,Original,bfloat16,FALSE,other,7,5,TRUE,2a48395bb8bdeac6cf812fe51746c436c558039b,TRUE,TRUE,2024-03-21T05:30:07Z,ChaoticNeutrals/Eris_PrimeV3-Vision-7B,https://huggingface.co/ChaoticNeutrals/Eris_PrimeV3-Vision-7B
